Cup,season,round,Date,HomeTeam,AwayTeam,competition_type,FTHG,FTAG,FTR,HomeDiv,AwayDiv,Div
CDR,2020,Final,2021-04-17,Athletic Bilbao,FC Barcelona,domestic_cup,0,4,A,ESP1,ESP1,DCUP
SFA,2020,Round of 16,2021-04-17,Aberdeen FC,Livingston FC,domestic_cup,7,5,H,SCO1,SCO1,DCUP
FAC,2020,Semi-Finals,2021-04-17,Chelsea FC,Manchester City,domestic_cup,1,0,H,ENG1,ENG1,DCUP
SFA,2020,Round of 16,2021-04-18,Rangers FC,Celtic FC,domestic_cup,2,0,H,SCO1,SCO1,DCUP
FAC,2020,Semi-Finals,2021-04-18,Leicester City,Southampton FC,domestic_cup,1,0,H,ENG1,ENG1,DCUP
SFA,2020,Quarter-Finals,2021-04-24,Hibernian FC,Motherwell FC,domestic_cup,6,4,H,SCO1,SCO1,DCUP
SFA,2020,Quarter-Finals,2021-04-25,Rangers FC,St. Johnstone FC,domestic_cup,3,5,A,SCO1,SCO1,DCUP
SFA,2020,Quarter-Finals,2021-04-25,Aberdeen FC,Dundee United FC,domestic_cup,0,3,A,SCO1,SCO2,DCUP
SFA,2020,Quarter-Finals,2021-04-26,Kilmarnock FC,St. Mirren FC,domestic_cup,7,8,A,SCO1,SCO1,DCUP
DFB,2020,Semi-Finals,2021-04-30,SV Werder Bremen,RB Leipzig,domestic_cup,1,2,A,DEU1,DEU1,DCUP
SFA,2020,Semi-Finals,2021-05-08,Dundee United FC,Hibernian FC,domestic_cup,0,2,A,SCO2,SCO1,DCUP
SFA,2020,Semi-Finals,2021-05-09,St. Mirren FC,St. Johnstone FC,domestic_cup,1,2,A,SCO1,SCO1,DCUP
DFB,2020,Final,2021-05-13,RB Leipzig,Borussia Dortmund,domestic_cup,1,4,A,DEU1,DEU1,DCUP
FAC,2020,Final,2021-05-15,Chelsea FC,Leicester City,domestic_cup,0,1,A,ENG1,ENG1,DCUP
CIT,2020,Final,2021-05-19,Atalanta BC,Juventus FC,domestic_cup,1,2,A,ITA1,ITA1,DCUP
SFA,2020,Final,2021-05-22,St. Johnstone FC,Hibernian FC,domestic_cup,1,0,H,SCO1,SCO1,DCUP
DFB,2021,First Round,2021-08-08,Eintracht Braunschweig,Hamburger SV,domestic_cup,1,2,A,DEU2,DEU2,DCUP
CIT,2021,First Round,2021-08-14,Benevento Calcio,SPAL,domestic_cup,2,1,H,ITA1,ITA2,DCUP
CIT,2021,First Round,2021-08-15,Torino FC,US Cremonese,domestic_cup,4,1,H,ITA1,ITA2,DCUP
CIT,2021,First Round,2021-08-15,Parma Calcio 1913,US Lecce,domestic_cup,1,3,A,ITA1,ITA2,DCUP
CIT,2021,First Round,2021-08-15,Venezia FC,Frosinone Calcio,domestic_cup,9,8,H,ITA2,ITA2,DCUP
CIT,2021,First Round,2021-08-16,FC Crotone,Brescia Calcio,domestic_cup,6,4,H,ITA1,ITA2,DCUP
DFB,2021,Second Round,2021-10-26,1.FSV Mainz 05,Arminia Bielefeld,domestic_cup,3,2,H,DEU1,DEU1,DCUP
DFB,2021,Second Round,2021-10-26,1.FC Nuremberg,Hamburger SV,domestic_cup,3,5,A,DEU2,DEU2,DCUP
DFB,2021,Second Round,2021-10-27,Hannover 96,Fortuna Düsseldorf,domestic_cup,3,0,H,DEU2,DEU2,DCUP
DFB,2021,Second Round,2021-10-27,VfL Bochum,FC Augsburg,domestic_cup,7,6,H,DEU2,DEU1,DCUP
DFB,2021,Second Round,2021-10-27,Borussia Mönchengladbach,Bayern Munich,domestic_cup,5,0,H,DEU1,DEU1,DCUP
CIT,2021,Second Round,2021-12-14,Genoa CFC,US Salernitana 1919,domestic_cup,1,0,H,ITA1,ITA2,DCUP
CDR,2021,Second Round,2021-12-14,SD Huesca,Girona FC,domestic_cup,0,1,A,ESP1,ESP2,DCUP
CIT,2021,Second Round,2021-12-14,Udinese Calcio,FC Crotone,domestic_cup,4,0,H,ITA1,ITA1,DCUP
CDR,2021,Second Round,2021-12-15,Real Valladolid CF,UD Las Palmas,domestic_cup,3,1,H,ESP1,ESP2,DCUP
CIT,2021,Second Round,2021-12-15,ACF Fiorentina,Benevento Calcio,domestic_cup,2,1,H,ITA1,ITA1,DCUP
CIT,2021,Second Round,2021-12-15,Hellas Verona,FC Empoli,domestic_cup,3,4,A,ITA1,ITA2,DCUP
CIT,2021,Second Round,2021-12-16,UC Sampdoria,Torino FC,domestic_cup,2,1,H,ITA1,ITA1,DCUP
CIT,2021,Second Round,2021-12-16,Spezia Calcio,US Lecce,domestic_cup,0,2,A,ITA1,ITA2,DCUP
CDR,2021,Third Round,2022-01-05,Real Valladolid CF,Real Betis Balompié,domestic_cup,0,3,A,ESP1,ESP1,DCUP
CDR,2021,Third Round,2022-01-05,SD Eibar,RCD Mallorca,domestic_cup,1,2,A,ESP1,ESP2,DCUP
CDR,2021,Third Round,2022-01-05,CD Leganés,Real Sociedad,domestic_cup,2,3,A,ESP2,ESP1,DCUP
CDR,2021,Third Round,2022-01-06,Sporting Gijón,Villarreal CF,domestic_cup,2,1,H,ESP2,ESP1,DCUP
CDR,2021,Third Round,2022-01-06,Real Zaragoza,Sevilla FC,domestic_cup,0,2,A,ESP2,ESP1,DCUP
